ITERATION,QUESTION,RESPONSE,ANSWER,TOTAL INPUT,TOTAL OUTPUT
0,"The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?
A) ignore 
B) enforce 
C) authoritarian 
D) yell at 
E) avoid 

End each answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A).",Final Answer = (A).,(A),98,7
1,"Sammy wanted to go to where the people were.  Where might he go?
A) race track 
B) populated areas 
C) the desert 
D) apartment 
E) roadblock 

End each answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A).",Final Answer = (B).,(B),94,7
2,"To locate a choker not located in a jewelry box or boutique where would you go?
A) jewelry store 
B) neck 
C) jewlery box 
D) jewelry box 
E) boutique 

End each answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A).",Final Answer = (B).,(A),96,7
3,"Google Maps and other highway and street GPS services have replaced what?
A) united states 
B) mexico 
C) countryside 
D) atlas 
E) oceans 

End each answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A).",Final Answer = (D).,(D),87,7
4,"The fox walked from the city into the forest, what was it looking for?
A) pretty flowers. 
B) hen house 
C) natural habitat 
D) storybook 
E) dense forest 

End each answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A).",Final Answer = (C).,(C),95,7
5,"What home entertainment equipment requires cable?
A) radio shack 
B) substation 
C) cabinet 
D) television 
E) desk 

End each answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A).",Final Answer = (D).,(D),82,7
6,"The only baggage the woman checked was a drawstring bag, where was she heading with it?
A) garbage can 
B) military 
C) jewelry store 
D) safe 
E) airport 

End each answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A).",Final Answer = (E).,(E),94,7
7,"The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?
A) carpet 
B) refrigerator 
C) breadbox 
D) fridge 
E) coach 

End each answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A).",Final Answer = (D).,(B),95,7
8,"What do people use to absorb extra ink from a fountain pen?
A) shirt pocket 
B) calligrapher's hand 
C) inkwell 
D) desk drawer 
E) blotter 

End each answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A).",Final Answer = (E).,(E),94,7
9,"Where is a business restaurant likely to be located?
A) town 
B) at hotel 
C) mall 
D) business sector 
E) yellow pages 

End each answer in this exact format: 'Final Answer = (LETTER) ex. Final Answer (B).'The letter you are selecting for your final must be surrounded by 2 parentheses ex. (A).",Final Answer = (D).,(D),86,7
